,molecule_chembl_id,IC50,units,smiles,pIC50
23,CHEMBL1418094,2300.0,nM,CC1=C(Nc2c(C)cc(O)cc2O)C(=O)C=c2oc3c(c21)C(C)=C(Nc1c(C)cc(O)cc1O)C(=O)C=3,5.638272163982407
24,CHEMBL4279581,2600.0,nM,CN1c2ccc(Oc3cccc(Br)c3)cc2C(c2ccccc2C(=O)O)=CS1(=O)=O,5.585026652029182
25,CHEMBL4127565,2800.0,nM,CC#C[C@]1(O)[C@H](n2ccc(=O)[nH]c2=O)O[C@](F)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]1O,5.552841968657781
26,CHEMBL4289289,4500.0,nM,O=C(O)c1cc(Oc2cccc(Br)c2)ccc1NS(=O)(=O)c1ccccc1,5.346787486224656
27,CHEMBL4284511,4700.0,nM,O=C(OC1=CS(=O)(=O)Nc2ccc(Oc3ccc(Br)cc3)cc21)c1ccccc1,5.327902142064282
28,CHEMBL4281097,4700.0,nM,COc1ccc(C(=O)OC2=CS(=O)(=O)Nc3ccc(Oc4cccc(Br)c4)cc32)cc1[N+](=O)[O-],5.327902142064282
29,CHEMBL521487,5000.0,nM,C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(=O)[nH]c1=O,5.301029995663981
30,CHEMBL4587069,5000.0,nM,O=C(NO)c1ncc(CS(=O)(=O)c2ccccc2)c(CO)c1O,5.301029995663981
31,CHEMBL583412,5200.0,nM,O=C(O)c1ccccc1NS(=O)(=O)c1cccc(-c2cnn(Cc3ccccc3)c2)c1,5.2839966563652006
32,CHEMBL4284513,6300.0,nM,COc1ccc(C(=O)OC2=CS(=O)(=O)Nc3ccc(Oc4ccccc4Br)cc32)cc1[N+](=O)[O-],5.200659450546418
33,CHEMBL4127030,6600.0,nM,C[C@]1(O)[C@H](n2ccc(=O)[nH]c2=O)O[C@](F)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]1O,5.180456064458131
34,CHEMBL4281094,6900.0,nM,CCc1cccc(Oc2ccc3c(c2)C(OC(=O)c2ccccc2)=CS(=O)(=O)N3)c1,5.161150909262744
35,CHEMBL4280007,7000.0,nM,O=C(OC1=CS(=O)(=O)Nc2ccc(Oc3cccc(Br)c3)cc21)c1ccccc1,5.154901959985743
36,CHEMBL4295172,7000.0,nM,O=C(OC1=CS(=O)(=O)Nc2ccc(Oc3cccc(F)c3)cc21)c1ccccc1,5.154901959985743
37,CHEMBL4289005,8400.0,nM,O=C(OC1=CS(=O)(=O)Nc2ccc(Oc3cccc(Br)c3)cc21)c1cccc([N+](=O)[O-])c1,5.075720713938118
38,CHEMBL4291308,11400.0,nM,O=C1CS(=O)(=O)N(C(=O)c2ccccc2)c2ccc(Oc3ccccc3Br)cc21,4.943095148663527
39,CHEMBL3233235,13600.0,nM,CN1c2c(C(=O)Nc3ccc(NS(C)(=O)=O)cc3)nn(-c3ccc(Cl)cc3)c2-c2ccccc2S1(=O)=O,4.866461091629782
40,CHEMBL3233241,14100.0,nM,Cc1ccc(-n2nc(C(=O)Nc3ccc(NS(C)(=O)=O)cc3)c3c2-c2ccccc2S(=O)(=O)N3C)cc1,4.85078088734462
41,CHEMBL1259059,14700.0,nM,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,4.8326826652518236
42,CHEMBL4277678,15800.0,nM,CC(C)(C)c1cccc(Oc2ccc3c(c2)C(OC(=O)c2ccccc2)=CS(=O)(=O)N3)c1,4.801342913045577
43,CHEMBL4127921,15900.0,nM,C#C[C@@]1(F)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(=O)[nH]c1=O,4.798602875679548
